Method,Path,Protected,RBAC,Pattern
GET,"/records",false,false,express
POST,"/records",false,false,express
GET,"/records/:id",false,false,express
PUT,"/records/:id",false,false,express
GET,"/role/:role",false,false,express
GET,"/roll-call",false,false,express
GET,"/scheduled/pending",false,false,express
GET,"/search",false,false,express
USE,"/search",false,false,express
POST,"/send-from-template",false,false,express
GET,"/sosRoutes",true,true,wrapAutoRBAC
POST,"/sosRoutes",true,true,wrapAutoRBAC
USE,"/staff",false,false,express
GET,"/staffAttendanceRoutes",true,true,wrapAutoRBAC
POST,"/staffAttendanceRoutes",true,true,wrapAutoRBAC
GET,"/staffHRRoutes",true,true,wrapAutoRBAC
POST,"/staffHRRoutes",true,true,wrapAutoRBAC
PUT,"/staffHRRoutes",true,true,wrapAutoRBAC
POST,"/staffMedicalRoutes",true,true,wrapAutoRBAC
POST,"/staffPharmacyRoutes",true,true,wrapAutoRBAC
GET,"/staffRoutes",true,true,wrapAutoRBAC
POST,"/staffRoutes",true,true,wrapAutoRBAC
PUT,"/staffRoutes",true,true,wrapAutoRBAC
GET,"/stats",false,false,express
USE,"/stats",false,false,express
GET,"/stats/overview",false,false,express
GET,"/stats/summary",false,false,express
GET,"/system-info",false,false,express
GET,"/system/status",false,false,express
POST,"/targeted",false,false,express
GET,"/templates",false,false,express
POST,"/templates",false,false,express
GET,"/test",false,false,express
GET,"/today/list",false,false,express
GET,"/uid/:uid",false,false,express
DELETE,"/uploadRoutes",true,true,wrapAutoRBAC
GET,"/uploadRoutes",true,true,wrapAutoRBAC
POST,"/uploadRoutes",true,true,wrapAutoRBAC
GET,"/user/:user_id",false,false,express
PATCH,"/user/:user_id/read-all",false,false,express
DELETE,"/userRoutes",true,true,wrapAutoRBAC
GET,"/userRoutes",true,true,wrapAutoRBAC
POST,"/userRoutes",true,true,wrapAutoRBAC
PUT,"/userRoutes",true,true,wrapAutoRBAC
GET,"/verify",false,false,express
POST,"/verify-test-otp",false,false,express
USE,"/version",false,false,express
GET,"/workload-analysis",false,false,express
