"Method","Path","File","Protected","Pattern"
"GET","/api/v1/sos/sosRoutes","src\routes\sosRoutes.js","True","wrapAutoRBAC"
"POST","/api/v1/sos/sosRoutes","src\routes\sosRoutes.js","True","wrapAutoRBAC"
"USE","/api/v1/staff","src\app.js","False","express"
"GET","/api/v1/staff/search","src\routes\record\medicalStaffRoutes.js, src\routes\user\userRoutes.js","False","express"
"GET","/api/v1/staff/staffRoutes","src\routes\staff\staffRoutes.js","True","wrapAutoRBAC"
"POST","/api/v1/staff/staffRoutes","src\routes\staff\staffRoutes.js","True","wrapAutoRBAC"
"PUT","/api/v1/staff/staffRoutes","src\routes\staff\staffRoutes.js","True","wrapAutoRBAC"
"GET","/api/v1/staffAttendanceRoutes","src\routes\staff\attendanceRoutes.js","True","wrapAutoRBAC"
"POST","/api/v1/staffAttendanceRoutes","src\routes\staff\attendanceRoutes.js","True","wrapAutoRBAC"
"GET","/api/v1/staffHRRoutes","src\routes\staff\hrRoutes.js","True","wrapAutoRBAC"
"POST","/api/v1/staffHRRoutes","src\routes\staff\hrRoutes.js","True","wrapAutoRBAC"
"PUT","/api/v1/staffHRRoutes","src\routes\staff\hrRoutes.js","True","wrapAutoRBAC"
"POST","/api/v1/staffMedicalRoutes","src\routes\staff\medicalRoutes.js","True","wrapAutoRBAC"
"USE","/api/v1/stats","src\routes\department\index.js, src\routes\doctor\index.js, src\routes\investigation\index.js","False","express"
"GET","/api/v1/stats/overview","src\routes\health\protectedRoutes.js","False","express"
"GET","/api/v1/system/status","src\routes\health\publicRoutes.js","False","express"
"GET","/api/v1/test","src\routes\appointment\appointmentListRoutes.js, src\routes\department\adminDepartmentRoutes.js, src\routes\department\departmentRoutes.js, src\routes\doctor\adminDoctorRoutes.js, src\routes\doctor\doctorRoutes.js, src\routes\health\protectedRoutes.js, src\routes\notification\adminNotificationRoutes.js, src\routes\notification\notificationRoutes.js, src\routes\userRoutes.test.js","False","express"
"GET","/api/v1/today/list","src\routes\appointment\appointmentListRoutes.js","False","express"
"GET","/api/v1/uid/:uid","src\routes\appointment\appointmentLegacyRoutes.js, src\routes\record\patientRoutes.js","False","express"
"USE","/api/v1/upload","src\app.js","False","express"
"DELETE","/api/v1/upload/uploadRoutes","src\routes\uploadRoutes.js","True","wrapAutoRBAC"
"GET","/api/v1/upload/uploadRoutes","src\routes\uploadRoutes.js","True","wrapAutoRBAC"
"POST","/api/v1/upload/uploadRoutes","src\routes\uploadRoutes.js","True","wrapAutoRBAC"
"USE","/api/v1/users","src\app.js, src\app.js","False","express"
"DELETE","/api/v1/users/:identifier","src\routes\user\userRoutes.js","False","express"
"PUT","/api/v1/users/:identifier","src\routes\user\userRoutes.js","False","express"
"PUT","/api/v1/users/:identifier/status","src\routes\user\userRoutes.js","False","express"
"GET","/api/v1/users/activity-audit","src\routes\user\adminUserRoutes.js","False","express"
"GET","/api/v1/users/analytics","src\routes\user\adminUserRoutes.js","False","express"
"POST","/api/v1/users/bulk-import","src\routes\user\userRoutes.js","False","express"
"GET","/api/v1/users/dashboard","src\routes\user\adminUserRoutes.js","False","express"
"POST","/api/v1/users/generate-report","src\routes\user\adminUserRoutes.js","False","express"
"GET","/api/v1/users/inactive-users","src\routes\user\adminUserRoutes.js","False","express"
"POST","/api/v1/users/reactivate/:userId","src\routes\user\adminUserRoutes.js","False","express"
"GET","/api/v1/users/role/:role","src\routes\user\userRoutes.js","False","express"
"GET","/api/v1/users/system-info","src\routes\user\adminUserRoutes.js, src\routes\user\index.js","False","express"
"DELETE","/api/v1/users/userRoutes","src\routes\userRoutes.js","True","wrapAutoRBAC"
"GET","/api/v1/users/userRoutes","src\routes\userRoutes.js","True","wrapAutoRBAC"
"POST","/api/v1/users/userRoutes","src\routes\userRoutes.js","True","wrapAutoRBAC"
"PUT","/api/v1/users/userRoutes","src\routes\userRoutes.js","True","wrapAutoRBAC"
"GET","/api/v1/verify","src\routes\user\lookupRoutes.js","False","express"
"USE","/api/v1/version","src\routes\infrastructure\index.js","False","express"
"GET","/api-docs/adminDocumentationRoutes","src\routes\infrastructure\swaggerRoutes.js","True","wrapAutoRBAC"
"POST","/api-docs/adminDocumentationRoutes","src\routes\infrastructure\swaggerRoutes.js","True","wrapAutoRBAC"
